"V1" "V2" "V3" "V1.1" "V2.1" "V6"
"Nr2c2" "ENSMUSG00000005893_Nr2c2" "protein_coding" "6" "ENSMUSG00000005893" "Nr2c2" "Nr2c2"
"Nr2c1" "ENSMUSG00000005897_Nr2c1" "protein_coding" "10" "ENSMUSG00000005897" "Nr2c1" "Nr2c1"
"Smpd4" "ENSMUSG00000005899_Smpd4" "protein_coding" "16" "ENSMUSG00000005899" "Smpd4" "Smpd4"
"Pex1" "ENSMUSG00000005907_Pex1" "protein_coding" "5" "ENSMUSG00000005907" "Pex1" "Pex1"
"Otx1" "ENSMUSG00000005917_Otx1" "protein_coding" "11" "ENSMUSG00000005917" "Otx1" "Otx1"
"Kctd20" "ENSMUSG00000005936_Kctd20" "protein_coding" "17" "ENSMUSG00000005936" "Kctd20" "Kctd20"
"Itgae" "ENSMUSG00000005947_Itgae" "protein_coding" "11" "ENSMUSG00000005947" "Itgae" "Itgae"
"Ctns" "ENSMUSG00000005949_Ctns" "protein_coding" "11" "ENSMUSG00000005949" "Ctns" "Ctns"
"P2rx5" "ENSMUSG00000005950_P2rx5" "protein_coding" "11" "ENSMUSG00000005950" "P2rx5" "P2rx5"
"Shpk" "ENSMUSG00000005951_Shpk" "protein_coding" "11" "ENSMUSG00000005951" "Shpk" "Shpk"
"Trpv1" "ENSMUSG00000005952_Trpv1" "protein_coding" "11" "ENSMUSG00000005952" "Trpv1" "Trpv1"
"Ephb3" "ENSMUSG00000005958_Ephb3" "protein_coding" "16" "ENSMUSG00000005958" "Ephb3" "Ephb3"
"Tuft1" "ENSMUSG00000005968_Tuft1" "protein_coding" "3" "ENSMUSG00000005968" "Tuft1" "Tuft1"
"Rcn1" "ENSMUSG00000005973_Rcn1" "protein_coding" "2" "ENSMUSG00000005973" "Rcn1" "Rcn1"
"Dnase1" "ENSMUSG00000005980_Dnase1" "protein_coding" "16" "ENSMUSG00000005980" "Dnase1" "Dnase1"
"Trap1" "ENSMUSG00000005981_Trap1" "protein_coding" "16" "ENSMUSG00000005981" "Trap1" "Trap1"
"Naa60" "ENSMUSG00000005982_Naa60" "protein_coding" "16" "ENSMUSG00000005982" "Naa60" "Naa60"
"1700037C18Rik" "ENSMUSG00000005983_1700037C18Rik" "protein_coding" "16" "ENSMUSG00000005983" "1700037C18Rik" "1700037C18Rik"
"Ankrd13d" "ENSMUSG00000005986_Ankrd13d" "protein_coding" "19" "ENSMUSG00000005986" "Ankrd13d" "Ankrd13d"
"Tyrp1" "ENSMUSG00000005994_Tyrp1" "protein_coding" "4" "ENSMUSG00000005994" "Tyrp1" "Tyrp1"
"Tpr" "ENSMUSG00000006005_Tpr" "protein_coding" "1" "ENSMUSG00000006005" "Tpr" "Tpr"
"Pdc" "ENSMUSG00000006007_Pdc" "protein_coding" "1" "ENSMUSG00000006007" "Pdc" "Pdc"
"BC003331" "ENSMUSG00000006010_BC003331" "protein_coding" "1" "ENSMUSG00000006010" "BC003331" "BC003331"
"Prg4" "ENSMUSG00000006014_Prg4" "protein_coding" "1" "ENSMUSG00000006014" "Prg4" "Prg4"
"Dhx34" "ENSMUSG00000006019_Dhx34" "protein_coding" "7" "ENSMUSG00000006019" "Dhx34" "Dhx34"
"Kptn" "ENSMUSG00000006021_Kptn" "protein_coding" "7" "ENSMUSG00000006021" "Kptn" "Kptn"
"Napa" "ENSMUSG00000006024_Napa" "protein_coding" "7" "ENSMUSG00000006024" "Napa" "Napa"
"Sra1" "ENSMUSG00000006050_Sra1" "protein_coding" "18" "ENSMUSG00000006050" "Sra1" "Sra1"
"Calcoco2" "ENSMUSG00000006056_Calcoco2" "protein_coding" "11" "ENSMUSG00000006056" "Calcoco2" "Calcoco2"
"Atp5g1" "ENSMUSG00000006057_Atp5g1" "protein_coding" "11" "ENSMUSG00000006057" "Atp5g1" "Atp5g1"
"Snf8" "ENSMUSG00000006058_Snf8" "protein_coding" "11" "ENSMUSG00000006058" "Snf8" "Snf8"
"Tbcb" "ENSMUSG00000006095_Tbcb" "protein_coding" "7" "ENSMUSG00000006095" "Tbcb" "Tbcb"
"Inpp5k" "ENSMUSG00000006127_Inpp5k" "protein_coding" "11" "ENSMUSG00000006127" "Inpp5k" "Inpp5k"
"Crkl" "ENSMUSG00000006134_Crkl" "protein_coding" "16" "ENSMUSG00000006134" "Crkl" "Crkl"
"Upk3bl" "ENSMUSG00000006143_Upk3bl" "protein_coding" "5" "ENSMUSG00000006143" "Upk3bl" "Upk3bl"
"Eps8l1" "ENSMUSG00000006154_Eps8l1" "protein_coding" "7" "ENSMUSG00000006154" "Eps8l1" "Eps8l1"
"Clint1" "ENSMUSG00000006169_Clint1" "protein_coding" "11" "ENSMUSG00000006169" "Clint1" "Clint1"
"Prss16" "ENSMUSG00000006179_Prss16" "protein_coding" "13" "ENSMUSG00000006179" "Prss16" "Prss16"
"Cdkal1" "ENSMUSG00000006191_Cdkal1" "protein_coding" "13" "ENSMUSG00000006191" "Cdkal1" "Cdkal1"
"5430419D17Rik" "ENSMUSG00000006204_5430419D17Rik" "protein_coding" "7" "ENSMUSG00000006204" "5430419D17Rik" "5430419D17Rik"
"Htra1" "ENSMUSG00000006205_Htra1" "protein_coding" "7" "ENSMUSG00000006205" "Htra1" "Htra1"
"Zbtb17" "ENSMUSG00000006215_Zbtb17" "protein_coding" "4" "ENSMUSG00000006215" "Zbtb17" "Zbtb17"
"Clcnkb" "ENSMUSG00000006216_Clcnkb" "protein_coding" "4" "ENSMUSG00000006216" "Clcnkb" "Clcnkb"
"Fam131c" "ENSMUSG00000006218_Fam131c" "protein_coding" "4" "ENSMUSG00000006218" "Fam131c" "Fam131c"
"Fblim1" "ENSMUSG00000006219_Fblim1" "protein_coding" "4" "ENSMUSG00000006219" "Fblim1" "Fblim1"
"Hspb7" "ENSMUSG00000006221_Hspb7" "protein_coding" "4" "ENSMUSG00000006221" "Hspb7" "Hspb7"
"Epor" "ENSMUSG00000006235_Epor" "protein_coding" "9" "ENSMUSG00000006235" "Epor" "Epor"
"Ccdc159" "ENSMUSG00000006241_Ccdc159" "protein_coding" "9" "ENSMUSG00000006241" "Ccdc159" "Ccdc159"
"Mob1b" "ENSMUSG00000006262_Mob1b" "protein_coding" "5" "ENSMUSG00000006262" "Mob1b" "Mob1b"
"Atp6v1b1" "ENSMUSG00000006269_Atp6v1b1" "protein_coding" "6" "ENSMUSG00000006269" "Atp6v1b1" "Atp6v1b1"
"Vax1" "ENSMUSG00000006270_Vax1" "protein_coding" "19" "ENSMUSG00000006270" "Vax1" "Vax1"
"Atp6v1b2" "ENSMUSG00000006273_Atp6v1b2" "protein_coding" "8" "ENSMUSG00000006273" "Atp6v1b2" "Atp6v1b2"
"Eps15l1" "ENSMUSG00000006276_Eps15l1" "protein_coding" "8" "ENSMUSG00000006276" "Eps15l1" "Eps15l1"
"Tep1" "ENSMUSG00000006281_Tep1" "protein_coding" "14" "ENSMUSG00000006281" "Tep1" "Tep1"
"Ttc5" "ENSMUSG00000006288_Ttc5" "protein_coding" "14" "ENSMUSG00000006288" "Ttc5" "Ttc5"
"Osgep" "ENSMUSG00000006289_Osgep" "protein_coding" "14" "ENSMUSG00000006289" "Osgep" "Osgep"
"Aamp" "ENSMUSG00000006299_Aamp" "protein_coding" "1" "ENSMUSG00000006299" "Aamp" "Aamp"
"Tmbim1" "ENSMUSG00000006301_Tmbim1" "protein_coding" "1" "ENSMUSG00000006301" "Tmbim1" "Tmbim1"
"Arpc2" "ENSMUSG00000006304_Arpc2" "protein_coding" "1" "ENSMUSG00000006304" "Arpc2" "Arpc2"
"Kmt2b" "ENSMUSG00000006307_Kmt2b" "protein_coding" "7" "ENSMUSG00000006307" "Kmt2b" "Kmt2b"
"Zbtb32" "ENSMUSG00000006310_Zbtb32" "protein_coding" "7" "ENSMUSG00000006310" "Zbtb32" "Zbtb32"
"Etv2" "ENSMUSG00000006311_Etv2" "protein_coding" "7" "ENSMUSG00000006311" "Etv2" "Etv2"
"Upk1a" "ENSMUSG00000006313_Upk1a" "protein_coding" "7" "ENSMUSG00000006313" "Upk1a" "Upk1a"
"Tmem147" "ENSMUSG00000006315_Tmem147" "protein_coding" "7" "ENSMUSG00000006315" "Tmem147" "Tmem147"
"Rps9" "ENSMUSG00000006333_Rps9" "protein_coding" "7" "ENSMUSG00000006333" "Rps9" "Rps9"
"Tfpt" "ENSMUSG00000006335_Tfpt" "protein_coding" "7" "ENSMUSG00000006335" "Tfpt" "Tfpt"
"Susd2" "ENSMUSG00000006342_Susd2" "protein_coding" "10" "ENSMUSG00000006342" "Susd2" "Susd2"
"Ggt5" "ENSMUSG00000006344_Ggt5" "protein_coding" "10" "ENSMUSG00000006344" "Ggt5" "Ggt5"
"Ggt1" "ENSMUSG00000006345_Ggt1" "protein_coding" "10" "ENSMUSG00000006345" "Ggt1" "Ggt1"
"Crip2" "ENSMUSG00000006356_Crip2" "protein_coding" "12" "ENSMUSG00000006356" "Crip2" "Crip2"
"Crip1" "ENSMUSG00000006360_Crip1" "protein_coding" "12" "ENSMUSG00000006360" "Crip1" "Crip1"
"Cbfa2t3" "ENSMUSG00000006362_Cbfa2t3" "protein_coding" "8" "ENSMUSG00000006362" "Cbfa2t3" "Cbfa2t3"
"Fbln1" "ENSMUSG00000006369_Fbln1" "protein_coding" "15" "ENSMUSG00000006369" "Fbln1" "Fbln1"
"Pgrmc1" "ENSMUSG00000006373_Pgrmc1" "protein_coding" "X" "ENSMUSG00000006373" "Pgrmc1" "Pgrmc1"
"Gcat" "ENSMUSG00000006378_Gcat" "protein_coding" "15" "ENSMUSG00000006378" "Gcat" "Gcat"
"Tek" "ENSMUSG00000006386_Tek" "protein_coding" "4" "ENSMUSG00000006386" "Tek" "Tek"
"Mpl" "ENSMUSG00000006389_Mpl" "protein_coding" "4" "ENSMUSG00000006389" "Mpl" "Mpl"
"Elovl1" "ENSMUSG00000006390_Elovl1" "protein_coding" "4" "ENSMUSG00000006390" "Elovl1" "Elovl1"
"Med8" "ENSMUSG00000006392_Med8" "protein_coding" "4" "ENSMUSG00000006392" "Med8" "Med8"
"Hyi" "ENSMUSG00000006395_Hyi" "polymorphic_pseudogene" "4" "ENSMUSG00000006395" "Hyi" "Hyi"
"Cdc20" "ENSMUSG00000006398_Cdc20" "protein_coding" "4" "ENSMUSG00000006398" "Cdc20" "Cdc20"
"Adamts4" "ENSMUSG00000006403_Adamts4" "protein_coding" "1" "ENSMUSG00000006403" "Adamts4" "Adamts4"
"Nectin4" "ENSMUSG00000006411_Nectin4" "protein_coding" "1" "ENSMUSG00000006411" "Nectin4" "Nectin4"
"Pfdn2" "ENSMUSG00000006412_Pfdn2" "protein_coding" "1" "ENSMUSG00000006412" "Pfdn2" "Pfdn2"
"Rnf114" "ENSMUSG00000006418_Rnf114" "protein_coding" "2" "ENSMUSG00000006418" "Rnf114" "Rnf114"
"C330007P06Rik" "ENSMUSG00000006423_C330007P06Rik" "protein_coding" "X" "ENSMUSG00000006423" "C330007P06Rik" "C330007P06Rik"
"Neurl1a" "ENSMUSG00000006435_Neurl1a" "protein_coding" "19" "ENSMUSG00000006435" "Neurl1a" "Neurl1a"
"Srm" "ENSMUSG00000006442_Srm" "protein_coding" "4" "ENSMUSG00000006442" "Srm" "Srm"
"Epha2" "ENSMUSG00000006445_Epha2" "protein_coding" "4" "ENSMUSG00000006445" "Epha2" "Epha2"
"Rbm14" "ENSMUSG00000006456_Rbm14" "protein_coding" "19" "ENSMUSG00000006456" "Rbm14" "Rbm14"
"Actn3" "ENSMUSG00000006457_Actn3" "protein_coding" "19" "ENSMUSG00000006457" "Actn3" "Actn3"
"A530013C23Rik" "ENSMUSG00000006462_A530013C23Rik" "lincRNA" "2" "ENSMUSG00000006462" "A530013C23Rik" "A530013C23Rik"
"Zdhhc24" "ENSMUSG00000006463_Zdhhc24" "protein_coding" "19" "ENSMUSG00000006463" "Zdhhc24" "Zdhhc24"
"Bbs1" "ENSMUSG00000006464_Bbs1" "protein_coding" "19" "ENSMUSG00000006464" "Bbs1" "Bbs1"
"Slc34a3" "ENSMUSG00000006469_Slc34a3" "protein_coding" "2" "ENSMUSG00000006469" "Slc34a3" "Slc34a3"
"Ndor1" "ENSMUSG00000006471_Ndor1" "protein_coding" "2" "ENSMUSG00000006471" "Ndor1" "Ndor1"
"Nsmf" "ENSMUSG00000006476_Nsmf" "protein_coding" "2" "ENSMUSG00000006476" "Nsmf" "Nsmf"
"Prl7a1" "ENSMUSG00000006488_Prl7a1" "protein_coding" "13" "ENSMUSG00000006488" "Prl7a1" "Prl7a1"
"Prl8a9" "ENSMUSG00000006490_Prl8a9" "protein_coding" "13" "ENSMUSG00000006490" "Prl8a9" "Prl8a9"
"Pdk1" "ENSMUSG00000006494_Pdk1" "protein_coding" "2" "ENSMUSG00000006494" "Pdk1" "Pdk1"
"Ptbp1" "ENSMUSG00000006498_Ptbp1" "protein_coding" "10" "ENSMUSG00000006498" "Ptbp1" "Ptbp1"
"Mvd" "ENSMUSG00000006517_Mvd" "protein_coding" "8" "ENSMUSG00000006517" "Mvd" "Mvd"
"Cyba" "ENSMUSG00000006519_Cyba" "protein_coding" "8" "ENSMUSG00000006519" "Cyba" "Cyba"
"Itih3" "ENSMUSG00000006522_Itih3" "protein_coding" "14" "ENSMUSG00000006522" "Itih3" "Itih3"
"Tmem110" "ENSMUSG00000006526_Tmem110" "protein_coding" "14" "ENSMUSG00000006526" "Tmem110" "Tmem110"
"Sfmbt1" "ENSMUSG00000006527_Sfmbt1" "protein_coding" "14" "ENSMUSG00000006527" "Sfmbt1" "Sfmbt1"
"Itih1" "ENSMUSG00000006529_Itih1" "protein_coding" "14" "ENSMUSG00000006529" "Itih1" "Itih1"
"Ihh" "ENSMUSG00000006538_Ihh" "protein_coding" "1" "ENSMUSG00000006538" "Ihh" "Ihh"
"Prkag3" "ENSMUSG00000006542_Prkag3" "protein_coding" "1" "ENSMUSG00000006542" "Prkag3" "Prkag3"
"Cryba2" "ENSMUSG00000006546_Cryba2" "protein_coding" "1" "ENSMUSG00000006546" "Cryba2" "Cryba2"
"Atp7b" "ENSMUSG00000006567_Atp7b" "protein_coding" "8" "ENSMUSG00000006567" "Atp7b" "Atp7b"
"Slc4a1" "ENSMUSG00000006574_Slc4a1" "protein_coding" "11" "ENSMUSG00000006574" "Slc4a1" "Slc4a1"
"Rundc3a" "ENSMUSG00000006575_Rundc3a" "protein_coding" "11" "ENSMUSG00000006575" "Rundc3a" "Rundc3a"
"Slc4a3" "ENSMUSG00000006576_Slc4a3" "protein_coding" "1" "ENSMUSG00000006576" "Slc4a3" "Slc4a3"
"Cdt1" "ENSMUSG00000006585_Cdt1" "protein_coding" "8" "ENSMUSG00000006585" "Cdt1" "Cdt1"
"Runx1t1" "ENSMUSG00000006586_Runx1t1" "protein_coding" "4" "ENSMUSG00000006586" "Runx1t1" "Runx1t1"
"Snai3" "ENSMUSG00000006587_Snai3" "protein_coding" "8" "ENSMUSG00000006587" "Snai3" "Snai3"
"Aprt" "ENSMUSG00000006589_Aprt" "protein_coding" "8" "ENSMUSG00000006589" "Aprt" "Aprt"
"Gtf2h1" "ENSMUSG00000006599_Gtf2h1" "protein_coding" "7" "ENSMUSG00000006599" "Gtf2h1" "Gtf2h1"
"Hfe" "ENSMUSG00000006611_Hfe" "protein_coding" "13" "ENSMUSG00000006611" "Hfe" "Hfe"
"Abhd1" "ENSMUSG00000006638_Abhd1" "processed_transcript" "5" "ENSMUSG00000006638" "Abhd1" "Abhd1"
"Slc5a6" "ENSMUSG00000006641_Slc5a6" "protein_coding" "5" "ENSMUSG00000006641" "Slc5a6" "Slc5a6"
"Tcf23" "ENSMUSG00000006642_Tcf23" "protein_coding" "5" "ENSMUSG00000006642" "Tcf23" "Tcf23"
"Nphs1" "ENSMUSG00000006649_Nphs1" "protein_coding" "7" "ENSMUSG00000006649" "Nphs1" "Nphs1"
"Aplp1" "ENSMUSG00000006651_Aplp1" "protein_coding" "7" "ENSMUSG00000006651" "Aplp1" "Aplp1"
"Qrich1" "ENSMUSG00000006673_Qrich1" "protein_coding" "9" "ENSMUSG00000006673" "Qrich1" "Qrich1"
"P4htm" "ENSMUSG00000006675_P4htm" "protein_coding" "9" "ENSMUSG00000006675" "P4htm" "P4htm"
"Usp19" "ENSMUSG00000006676_Usp19" "protein_coding" "9" "ENSMUSG00000006676" "Usp19" "Usp19"
"Pola1" "ENSMUSG00000006678_Pola1" "protein_coding" "X" "ENSMUSG00000006678" "Pola1" "Pola1"
"Cdc42" "ENSMUSG00000006699_Cdc42" "protein_coding" "4" "ENSMUSG00000006699" "Cdc42" "Cdc42"
"Pknox1" "ENSMUSG00000006705_Pknox1" "protein_coding" "17" "ENSMUSG00000006705" "Pknox1" "Pknox1"
"D130043K22Rik" "ENSMUSG00000006711_D130043K22Rik" "protein_coding" "13" "ENSMUSG00000006711" "D130043K22Rik" "D130043K22Rik"
"Gmnn" "ENSMUSG00000006715_Gmnn" "protein_coding" "13" "ENSMUSG00000006715" "Gmnn" "Gmnn"
"Acot13" "ENSMUSG00000006717_Acot13" "protein_coding" "13" "ENSMUSG00000006717" "Acot13" "Acot13"
"Zfp184" "ENSMUSG00000006720_Zfp184" "protein_coding" "13" "ENSMUSG00000006720" "Zfp184" "Zfp184"
"Cyp27b1" "ENSMUSG00000006724_Cyp27b1" "protein_coding" "10" "ENSMUSG00000006724" "Cyp27b1" "Cyp27b1"
"Cdk4" "ENSMUSG00000006728_Cdk4" "protein_coding" "10" "ENSMUSG00000006728" "Cdk4" "Cdk4"
"B4galnt1" "ENSMUSG00000006731_B4galnt1" "protein_coding" "10" "ENSMUSG00000006731" "B4galnt1" "B4galnt1"
"Mettl1" "ENSMUSG00000006732_Mettl1" "protein_coding" "10" "ENSMUSG00000006732" "Mettl1" "Mettl1"
"Tspan31" "ENSMUSG00000006736_Tspan31" "protein_coding" "10" "ENSMUSG00000006736" "Tspan31" "Tspan31"
"Kif5b" "ENSMUSG00000006740_Kif5b" "protein_coding" "18" "ENSMUSG00000006740" "Kif5b" "Kif5b"
"Saal1" "ENSMUSG00000006763_Saal1" "protein_coding" "7" "ENSMUSG00000006763" "Saal1" "Saal1"
"Tph2" "ENSMUSG00000006764_Tph2" "protein_coding" "10" "ENSMUSG00000006764" "Tph2" "Tph2"
"Krt23" "ENSMUSG00000006777_Krt23" "protein_coding" "11" "ENSMUSG00000006777" "Krt23" "Krt23"
"Cnp" "ENSMUSG00000006782_Cnp" "protein_coding" "11" "ENSMUSG00000006782" "Cnp" "Cnp"
"Ttc25" "ENSMUSG00000006784_Ttc25" "protein_coding" "11" "ENSMUSG00000006784" "Ttc25" "Ttc25"
"Sulf2" "ENSMUSG00000006800_Sulf2" "protein_coding" "2" "ENSMUSG00000006800" "Sulf2" "Sulf2"
"Sod2" "ENSMUSG00000006818_Sod2" "protein_coding" "17" "ENSMUSG00000006818" "Sod2" "Sod2"
"Tmco6" "ENSMUSG00000006850_Tmco6" "protein_coding" "18" "ENSMUSG00000006850" "Tmco6" "Tmco6"
"Stambp" "ENSMUSG00000006906_Stambp" "protein_coding" "6" "ENSMUSG00000006906" "Stambp" "Stambp"
"Ezh1" "ENSMUSG00000006920_Ezh1" "protein_coding" "11" "ENSMUSG00000006920" "Ezh1" "Ezh1"
"Hap1" "ENSMUSG00000006930_Hap1" "protein_coding" "11" "ENSMUSG00000006930" "Hap1" "Hap1"
"P3h4" "ENSMUSG00000006931_P3h4" "protein_coding" "11" "ENSMUSG00000006931" "P3h4" "P3h4"
"Ctnnb1" "ENSMUSG00000006932_Ctnnb1" "protein_coding" "9" "ENSMUSG00000006932" "Ctnnb1" "Ctnnb1"
"Eif1b" "ENSMUSG00000006941_Eif1b" "protein_coding" "9" "ENSMUSG00000006941" "Eif1b" "Eif1b"
"Chrd" "ENSMUSG00000006958_Chrd" "protein_coding" "16" "ENSMUSG00000006958" "Chrd" "Chrd"
"Psmd2" "ENSMUSG00000006998_Psmd2" "protein_coding" "16" "ENSMUSG00000006998" "Psmd2" "Psmd2"
"Syngr3" "ENSMUSG00000007021_Syngr3" "protein_coding" "17" "ENSMUSG00000007021" "Syngr3" "Syngr3"
"Vars" "ENSMUSG00000007029_Vars" "protein_coding" "17" "ENSMUSG00000007029" "Vars" "Vars"
"Vwa7" "ENSMUSG00000007030_Vwa7" "protein_coding" "17" "ENSMUSG00000007030" "Vwa7" "Vwa7"
"Hspa1l" "ENSMUSG00000007033_Hspa1l" "protein_coding" "17" "ENSMUSG00000007033" "Hspa1l" "Hspa1l"
"Slc44a4" "ENSMUSG00000007034_Slc44a4" "protein_coding" "17" "ENSMUSG00000007034" "Slc44a4" "Slc44a4"
"Msh5" "ENSMUSG00000007035_Msh5" "protein_coding" "17" "ENSMUSG00000007035" "Msh5" "Msh5"
"Abhd16a" "ENSMUSG00000007036_Abhd16a" "protein_coding" "17" "ENSMUSG00000007036" "Abhd16a" "Abhd16a"
"Neu1" "ENSMUSG00000007038_Neu1" "protein_coding" "17" "ENSMUSG00000007038" "Neu1" "Neu1"
"Ddah2" "ENSMUSG00000007039_Ddah2" "protein_coding" "17" "ENSMUSG00000007039" "Ddah2" "Ddah2"
"Clic1" "ENSMUSG00000007041_Clic1" "protein_coding" "17" "ENSMUSG00000007041" "Clic1" "Clic1"
"Lsm2" "ENSMUSG00000007050_Lsm2" "protein_coding" "17" "ENSMUSG00000007050" "Lsm2" "Lsm2"
"Pole" "ENSMUSG00000007080_Pole" "protein_coding" "5" "ENSMUSG00000007080" "Pole" "Pole"
"Atp1a2" "ENSMUSG00000007097_Atp1a2" "protein_coding" "1" "ENSMUSG00000007097" "Atp1a2" "Atp1a2"
"Atp1a4" "ENSMUSG00000007107_Atp1a4" "protein_coding" "1" "ENSMUSG00000007107" "Atp1a4" "Atp1a4"
"Casq1" "ENSMUSG00000007122_Casq1" "protein_coding" "1" "ENSMUSG00000007122" "Casq1" "Casq1"
"Stx1a" "ENSMUSG00000007207_Stx1a" "protein_coding" "5" "ENSMUSG00000007207" "Stx1a" "Stx1a"
"Zfp775" "ENSMUSG00000007216_Zfp775" "protein_coding" "6" "ENSMUSG00000007216" "Zfp775" "Zfp775"
"Scube2" "ENSMUSG00000007279_Scube2" "protein_coding" "7" "ENSMUSG00000007279" "Scube2" "Scube2"
"Mrpl49" "ENSMUSG00000007338_Mrpl49" "protein_coding" "19" "ENSMUSG00000007338" "Mrpl49" "Mrpl49"
"Dennd2c" "ENSMUSG00000007379_Dennd2c" "protein_coding" "3" "ENSMUSG00000007379" "Dennd2c" "Dennd2c"
"Mark3" "ENSMUSG00000007411_Mark3" "protein_coding" "12" "ENSMUSG00000007411" "Mark3" "Mark3"
"Gatad1" "ENSMUSG00000007415_Gatad1" "protein_coding" "5" "ENSMUSG00000007415" "Gatad1" "Gatad1"
"Pcdha11" "ENSMUSG00000007440_Pcdha11" "protein_coding" "18" "ENSMUSG00000007440" "Pcdha11" "Pcdha11"
"2310003L06Rik" "ENSMUSG00000007457_2310003L06Rik" "protein_coding" "5" "ENSMUSG00000007457" "2310003L06Rik" "2310003L06Rik"
"M6pr" "ENSMUSG00000007458_M6pr" "protein_coding" "6" "ENSMUSG00000007458" "M6pr" "M6pr"
"Lrrc8a" "ENSMUSG00000007476_Lrrc8a" "protein_coding" "2" "ENSMUSG00000007476" "Lrrc8a" "Lrrc8a"
"Mc5r" "ENSMUSG00000007480_Mc5r" "protein_coding" "18" "ENSMUSG00000007480" "Mc5r" "Mc5r"
"Ppp2r1a" "ENSMUSG00000007564_Ppp2r1a" "protein_coding" "17" "ENSMUSG00000007564" "Ppp2r1a" "Ppp2r1a"
"Fance" "ENSMUSG00000007570_Fance" "protein_coding" "17" "ENSMUSG00000007570" "Fance" "Fance"
"Tinf2" "ENSMUSG00000007589_Tinf2" "protein_coding" "14" "ENSMUSG00000007589" "Tinf2" "Tinf2"
"Tssk4" "ENSMUSG00000007591_Tssk4" "protein_coding" "14" "ENSMUSG00000007591" "Tssk4" "Tssk4"
"Hapln4" "ENSMUSG00000007594_Hapln4" "protein_coding" "8" "ENSMUSG00000007594" "Hapln4" "Hapln4"
"Dus3l" "ENSMUSG00000007603_Dus3l" "protein_coding" "17" "ENSMUSG00000007603" "Dus3l" "Dus3l"
"Gtpbp3" "ENSMUSG00000007610_Gtpbp3" "protein_coding" "8" "ENSMUSG00000007610" "Gtpbp3" "Gtpbp3"
"Tgfbr1" "ENSMUSG00000007613_Tgfbr1" "protein_coding" "4" "ENSMUSG00000007613" "Tgfbr1" "Tgfbr1"
"Homer1" "ENSMUSG00000007617_Homer1" "protein_coding" "13" "ENSMUSG00000007617" "Homer1" "Homer1"
"Rad51c" "ENSMUSG00000007646_Rad51c" "protein_coding" "11" "ENSMUSG00000007646" "Rad51c" "Rad51c"
"Gabrb2" "ENSMUSG00000007653_Gabrb2" "protein_coding" "11" "ENSMUSG00000007653" "Gabrb2" "Gabrb2"
"Cav1" "ENSMUSG00000007655_Cav1" "protein_coding" "6" "ENSMUSG00000007655" "Cav1" "Cav1"
"Arpp19" "ENSMUSG00000007656_Arpp19" "protein_coding" "9" "ENSMUSG00000007656" "Arpp19" "Arpp19"
"Bcl2l1" "ENSMUSG00000007659_Bcl2l1" "protein_coding" "2" "ENSMUSG00000007659" "Bcl2l1" "Bcl2l1"
"Khsrp" "ENSMUSG00000007670_Khsrp" "protein_coding" "17" "ENSMUSG00000007670" "Khsrp" "Khsrp"
"Dio2" "ENSMUSG00000007682_Dio2" "protein_coding" "12" "ENSMUSG00000007682" "Dio2" "Dio2"
"Ccdc124" "ENSMUSG00000007721_Ccdc124" "protein_coding" "8" "ENSMUSG00000007721" "Ccdc124" "Ccdc124"
"Cct4" "ENSMUSG00000007739_Cct4" "protein_coding" "11" "ENSMUSG00000007739" "Cct4" "Cct4"
"0610009B22Rik" "ENSMUSG00000007777_0610009B22Rik" "protein_coding" "11" "ENSMUSG00000007777" "0610009B22Rik" "0610009B22Rik"
"Cpt1c" "ENSMUSG00000007783_Cpt1c" "protein_coding" "7" "ENSMUSG00000007783" "Cpt1c" "Cpt1c"
"Twist2" "ENSMUSG00000007805_Twist2" "protein_coding" "1" "ENSMUSG00000007805" "Twist2" "Twist2"
"Zfp655" "ENSMUSG00000007812_Zfp655" "protein_coding" "5" "ENSMUSG00000007812" "Zfp655" "Zfp655"
"Rhoa" "ENSMUSG00000007815_Rhoa" "protein_coding" "9" "ENSMUSG00000007815" "Rhoa" "Rhoa"
"Zmiz1" "ENSMUSG00000007817_Zmiz1" "protein_coding" "14" "ENSMUSG00000007817" "Zmiz1" "Zmiz1"
"Ankrd26" "ENSMUSG00000007827_Ankrd26" "protein_coding" "6" "ENSMUSG00000007827" "Ankrd26" "Ankrd26"
"Aldh16a1" "ENSMUSG00000007833_Aldh16a1" "protein_coding" "7" "ENSMUSG00000007833" "Aldh16a1" "Aldh16a1"
"Hnrnpa0" "ENSMUSG00000007836_Hnrnpa0" "protein_coding" "13" "ENSMUSG00000007836" "Hnrnpa0" "Hnrnpa0"
"Prrg2" "ENSMUSG00000007837_Prrg2" "protein_coding" "7" "ENSMUSG00000007837" "Prrg2" "Prrg2"
"Hnrnph1" "ENSMUSG00000007850_Hnrnph1" "protein_coding" "11" "ENSMUSG00000007850" "Hnrnph1" "Hnrnph1"
"Ift43" "ENSMUSG00000007867_Ift43" "protein_coding" "12" "ENSMUSG00000007867" "Ift43" "Ift43"
"Id3" "ENSMUSG00000007872_Id3" "protein_coding" "4" "ENSMUSG00000007872" "Id3" "Id3"
"Tcap" "ENSMUSG00000007877_Tcap" "protein_coding" "11" "ENSMUSG00000007877" "Tcap" "Tcap"
"Arid1a" "ENSMUSG00000007880_Arid1a" "protein_coding" "4" "ENSMUSG00000007880" "Arid1a" "Arid1a"
